,zuvis
0,Lynas
1,Srovinė aukšlė
2,Paprastoji aukšlė
3,Paprastoji saulažuvė
4,Paprastasis karšis
5,Paprastasis ūsorius
6,Paprastasis plakis
7,Paprastasis
8,Paprastasis skersasnukis
9,Paprastasis gružlys
10,Europinis šapalas
11,Paprastoji meknė
12,Paprastasis strepetys
13,Ežerinė rainė
14,Paprastoji rainė
15,Paprastoji kartuolė
16,Paprastoji raudė
17,Paprastoji kuoja
18,Salatis
19,Šližys
20,Paprastasis kirtiklis
21,Šiaurinis auksaspalvis kirtiklis
22,Paprastasis vijūnas
23,Paprastasis kūjagalvis
24,Raibapelekis kūjagalvis
25,Europinė lydeka
26,Devynspyglė dyglė
27,Vėgėlė
28,Seliava
29,Ežerinis sykas
30,Margasis upėtakis
31,Kiršlys
32,Paprastasis šamas
33,Ukraininė nėgė
34,Mažoji nėgė
35,Upinė nėgė
